Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check_point_008_TS,Edge Chromium 121,,,28-01-2024 23:01:24,28-01-2024 23:02:19,54.727s,PASSED
,,,,,,,
Test Cases/checkpoint_tc_address_008,Edge Chromium 121,,,28-01-2024 23:01:25,28-01-2024 23:02:19,53.577s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,28-01-2024 23:01:25,28-01-2024 23:02:16,51.172s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Checkpoint_delivery_address""), true)",Edge Chromium 121,,,28-01-2024 23:02:17,28-01-2024 23:02:18,1.629s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 121,,,28-01-2024 23:02:18,28-01-2024 23:02:19,0.410s,PASSED
